iShares Russell 3000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,30-Apr-24,,,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,,,,
Shares Outstanding,"45,450,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
UNP,UNION PACIFIC CORP,Industrials,Equity,"38,917,956.00",0.3,"38,917,956.00","164,100.00",237.16,United States,New York Stock Exchange Inc.,USD,1,USD,-
NOW,SERVICENOW INC,Information Technology,Equity,"38,070,750.30",0.29,"38,070,750.30","54,910.00",693.33,United States,New York Stock Exchange Inc.,USD,1,USD,-
NEE,NEXTERA ENERGY INC,Utilities,Equity,"37,032,467.87",0.28,"37,032,467.87","552,971.00",66.97,United States,New York Stock Exchange Inc.,USD,1,USD,-
AXP,AMERICAN EXPRESS,Financials,Equity,"36,504,701.49",0.28,"36,504,701.49","155,983.00",234.03,United States,New York Stock Exchange Inc.,USD,1,USD,-
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"36,258,402.12",0.28,"36,258,402.12","84,972.00",426.71,United States,New York Stock Exchange Inc.,USD,1,USD,-
SPGI,S&P GLOBAL INC,Financials,Equity,"35,488,595.52",0.27,"35,488,595.52","85,344.00",415.83,United States,New York Stock Exchange Inc.,USD,1,USD,-
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"35,411,634.79",0.27,"35,411,634.79","155,321.00",227.99,United States,New York Stock Exchange Inc.,USD,1,USD,-
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"35,059,281.99",0.27,"35,059,281.99","529,037.00",66.27,United States,New York Stock Exchange Inc.,USD,1,USD,-
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"34,831,238.22",0.27,"34,831,238.22","93,981.00",370.62,United States,NASDAQ,USD,1,USD,-
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"34,644,481.41",0.26,"34,644,481.41","1,137,003.00",30.47,United States,NASDAQ,USD,1,USD,-
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"34,528,543.15",0.26,"34,528,543.15","179,155.00",192.73,United States,NASDAQ,USD,1,USD,-
ETN,EATON PLC,Industrials,Equity,"34,065,913.88",0.26,"34,065,913.88","107,038.00",318.26,United States,New York Stock Exchange Inc.,USD,1,USD,-
ELV,ELEVANCE HEALTH INC,Health Care,Equity,"33,755,118.80",0.26,"33,755,118.80","63,860.00",528.58,United States,New York Stock Exchange Inc.,USD,1,USD,-
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"33,196,345.92",0.25,"33,196,345.92","293,877.00",112.96,United States,NASDAQ,USD,1,USD,-
PGR,PROGRESSIVE CORP,Financials,Equity,"32,754,184.75",0.25,"32,754,184.75","157,283.00",208.25,United States,New York Stock Exchange Inc.,USD,1,USD,-
T,AT&T INC,Communication,Equity,"32,519,516.19",0.25,"32,519,516.19","1,925,371.00",16.89,United States,New York Stock Exchange Inc.,USD,1,USD,-
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"32,431,821.85",0.25,"32,431,821.85","9,395.00","3,452.03",United States,NASDAQ,USD,1,USD,-
SYK,STRYKER CORP,Health Care,Equity,"32,233,671.50",0.25,"32,233,671.50","95,791.00",336.5,United States,New York Stock Exchange Inc.,USD,1,USD,-
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"31,663,902.82",0.24,"31,663,902.82","35,402.00",894.41,United States,NASDAQ,USD,1,USD,-
C,CITIGROUP INC,Financials,Equity,"31,542,325.65",0.24,"31,542,325.65","514,305.00",61.33,United States,New York Stock Exchange Inc.,USD,1,USD,-
BLK,BLACKROCK INC,Financials,Equity,"30,218,049.52",0.23,"30,218,049.52","40,043.00",754.64,United States,New York Stock Exchange Inc.,USD,1,USD,-
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"29,481,276.75",0.23,"29,481,276.75","398,665.00",73.95,United States,New York Stock Exchange Inc.,USD,1,USD,-
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"29,198,168.02",0.22,"29,198,168.02","316,477.00",92.26,United States,New York Stock Exchange Inc.,USD,1,USD,-
